,titles,targets,dates
0,🔎보물섬 영도 탐방 프로그램 참여자 모집,"영도구 관내 영유아·아동·청소년 기관 및 단체, 공동체",24년 4월 3일 ~ 30일
1,👀2024 스스로 실험실: 교육환경 리빙랩 참여자 모집,영도 어린이 교육환경 여건 개선을 위해 실험 활동을 실천하고 네트워크를 지속할 의지가 있는 활동가 10팀,2024. 3. 27.(수) ~ 4.17.(수)
2,2024 시민동아리 및 연결공간 지원사업 통합공모,커뮤니티 활동에 관심있는 영도 주민 누구나,2024. 3. 27.(수) ~ 4. 17.(수)
3,🛍3월 어린이 셀러 모집(~3/18),초등학생(2012~2017년 출생),~3/18(화) 18:00
4,😎2024 봄방학 영도 어린이 창업스쿨 참여자 모집(~2.4.),영도구 거주 예비 초4 ~ 예비 중1,2024. 1. 22.(월) ~ 2. 4.(일)
5,☃2024 겨울 창의예술학교 참여자 모집! (~12/29까지),만 7세 ~ 13세 영도구 거주 어린이  누구나,2024. 1. 8.(월) ~ 1. 19.(금)
6,🧳생존가방 참여자 모집 (~12/3까지),영도 아동·청소년 30명,2023. 11. 22.(수) ~ 12. 3. (일) 23:59
7,"🎉2023 기획자의 집 맺음공유회 <우리, 기억회>🎉",기획자 학교 수료생 누구나,~11/25(토)
8,🎢2023 연결기획자 지원사업 맺음공유회 『연결된 영도 & 연결될 기획자』🎢,연결프로젝트에 참여한 주민 혹은 관심있는 분 누구나,~2023.11/23
9,🏡 2023 연결사회 지역거점 <마주봄 축제> 🏡,🌠 문화돌봄 정책에 관심있는 누구나,
10,🔮똑똑똑 예술가 결과보고전 <소원을 말해봐!>🔮,누구나,
11,📝디지털 아카이브 사례 공유 포럼📝,"아카이브에 관심 있는 누구나, 40명",~ 2023.  11. 22.(수) 까지
12,🌻2023 프로젝트 전시 <노란안녕>,누구나,
13,👏2023 시민지원사업 통합 맺음공유회👏,영도 문화도시에 관심 있는 누구나,11. 5. (일) 18시까지
14,💌 똑똑똑 예술배달 초대장이 도착했습니다,,
